date,yhat,yhat_lower,yhat_upper
2025-11-01,97.78,92.87318758582735,102.68681241417265
2025-12-01,100.46,95.55318758582735,105.36681241417264
2026-01-01,103.77,98.86318758582735,108.67681241417264
2026-02-01,105.84,100.93318758582735,110.74681241417265
2026-03-01,108.4,103.49318758582736,113.30681241417265
2026-04-01,106.91,102.00318758582735,111.81681241417265
2026-05-01,108.82,103.91318758582734,113.72681241417264
2026-06-01,110.0,105.09318758582735,114.90681241417265
2026-07-01,108.89,103.98318758582735,113.79681241417265
2026-08-01,107.3,102.39318758582735,112.20681241417265
2026-09-01,110.25,105.34318758582735,115.15681241417265
2026-10-01,106.77,101.86318758582735,111.67681241417264
