date,yhat,yhat_lower,yhat_upper
2025-11-01,97.76,92.99089402292148,102.52910597707853
2025-12-01,103.95,99.18089402292148,108.71910597707853
2026-01-01,102.87,98.10089402292148,107.63910597707853
2026-02-01,105.68,100.91089402292148,110.44910597707853
2026-03-01,108.04,103.27089402292148,112.80910597707853
2026-04-01,109.59,104.82089402292148,114.35910597707853
2026-05-01,107.29,102.52089402292148,112.05910597707853
2026-06-01,107.14,102.37089402292148,111.90910597707853
2026-07-01,111.27,106.50089402292147,116.03910597707852
2026-08-01,110.93,106.16089402292148,115.69910597707853
2026-09-01,107.3,102.53089402292147,112.06910597707852
2026-10-01,106.49,101.72089402292147,111.25910597707852
