date,yhat,yhat_lower,yhat_upper
2025-11-01,100.47,95.46870813489154,105.47129186510845
2025-12-01,100.28,95.27870813489155,105.28129186510846
2026-01-01,102.55,97.54870813489154,107.55129186510845
2026-02-01,104.46,99.45870813489154,109.46129186510845
2026-03-01,107.33,102.32870813489154,112.33129186510845
2026-04-01,108.31,103.30870813489155,113.31129186510846
2026-05-01,112.4,107.39870813489155,117.40129186510846
2026-06-01,109.79,104.78870813489155,114.79129186510846
2026-07-01,110.75,105.74870813489154,115.75129186510846
2026-08-01,107.71,102.70870813489154,112.71129186510845
2026-09-01,108.28,103.27870813489155,113.28129186510846
2026-10-01,107.56,102.55870813489155,112.56129186510846
