date,yhat,yhat_lower,yhat_upper
2025-11-01,98.55,94.23065599593474,102.86934400406525
2025-12-01,104.48,100.16065599593475,108.79934400406526
2026-01-01,106.71,102.39065599593474,111.02934400406525
2026-02-01,108.4,104.08065599593475,112.71934400406526
2026-03-01,109.97,105.65065599593474,114.28934400406526
2026-04-01,109.13,104.81065599593474,113.44934400406525
2026-05-01,107.53,103.21065599593474,111.84934400406526
2026-06-01,110.95,106.63065599593475,115.26934400406526
2026-07-01,109.8,105.48065599593474,114.11934400406525
2026-08-01,107.64,103.32065599593474,111.95934400406526
2026-09-01,105.56,101.24065599593474,109.87934400406526
2026-10-01,109.75,105.43065599593474,114.06934400406526
