date,yhat,yhat_lower,yhat_upper
2025-01-01,99.43,95.11940221371195,103.74059778628806
2025-02-01,103.99,99.67940221371194,108.30059778628805
2025-03-01,106.98,102.66940221371195,111.29059778628806
2025-04-01,104.32,100.00940221371194,108.63059778628805
2025-05-01,108.35,104.03940221371194,112.66059778628805
2025-06-01,105.78,101.46940221371194,110.09059778628806
2025-07-01,106.69,102.37940221371194,111.00059778628805
2025-08-01,110.08,105.76940221371194,114.39059778628805
2025-09-01,108.37,104.05940221371195,112.68059778628806
2025-10-01,110.42,106.10940221371195,114.73059778628806
2025-11-01,111.6,107.28940221371194,115.91059778628805
2025-12-01,108.91,104.59940221371194,113.22059778628805
