date,yhat,yhat_lower,yhat_upper
2025-11-01,97.37,91.86767771870161,102.8723222812984
2025-12-01,103.04,97.53767771870162,108.5423222812984
2026-01-01,103.52,98.0176777187016,109.02232228129839
2026-02-01,107.51,102.00767771870161,113.0123222812984
2026-03-01,106.3,100.7976777187016,111.80232228129839
2026-04-01,108.62,103.11767771870161,114.1223222812984
2026-05-01,110.15,104.64767771870162,115.6523222812984
2026-06-01,110.9,105.39767771870162,116.4023222812984
2026-07-01,112.82,107.3176777187016,118.32232228129838
2026-08-01,107.42,101.91767771870161,112.92232228129839
2026-09-01,111.54,106.03767771870162,117.0423222812984
2026-10-01,107.12,101.61767771870161,112.6223222812984
