date,yhat,yhat_lower,yhat_upper
2025-11-01,102.6,98.33945127107843,106.86054872892156
2025-12-01,100.81,96.54945127107844,105.07054872892157
2026-01-01,104.58,100.31945127107844,108.84054872892156
2026-02-01,108.45,104.18945127107844,112.71054872892157
2026-03-01,105.51,101.24945127107844,109.77054872892157
2026-04-01,110.53,106.26945127107844,114.79054872892156
2026-05-01,110.94,106.67945127107843,115.20054872892156
2026-06-01,109.79,105.52945127107844,114.05054872892157
2026-07-01,110.47,106.20945127107844,114.73054872892156
2026-08-01,107.87,103.60945127107844,112.13054872892157
2026-09-01,108.84,104.57945127107844,113.10054872892157
2026-10-01,109.15,104.88945127107844,113.41054872892157
