date,yhat,yhat_lower,yhat_upper
2025-11-01,97.09,91.66953396613886,102.51046603386115
2025-12-01,100.14,94.71953396613885,105.56046603386115
2026-01-01,102.55,97.12953396613885,107.97046603386114
2026-02-01,104.88,99.45953396613885,110.30046603386114
2026-03-01,107.87,102.44953396613886,113.29046603386115
2026-04-01,109.33,103.90953396613885,114.75046603386114
2026-05-01,109.78,104.35953396613886,115.20046603386115
2026-06-01,108.06,102.63953396613886,113.48046603386115
2026-07-01,107.74,102.31953396613885,113.16046603386114
2026-08-01,110.44,105.01953396613885,115.86046603386114
2026-09-01,109.84,104.41953396613886,115.26046603386115
2026-10-01,105.94,100.51953396613885,111.36046603386114
